year,eweek,type_dengue,number
2016,24,DHF,1
2016,25,Dengue,213
2016,25,DHF,0
2016,26,Dengue,234
2016,26,DHF,0
2016,27,Dengue,245
2016,27,DHF,1
2016,28,Dengue,223
2016,28,DHF,0
2016,29,Dengue,266
2016,29,DHF,0
2016,30,Dengue,219
2016,30,DHF,1
2016,31,Dengue,209
2016,31,DHF,0
2016,32,Dengue,196
2016,32,DHF,1
2016,33,Dengue,219
2016,33,DHF,1
2016,34,Dengue,271
2016,34,DHF,0
2016,35,Dengue,308
2016,35,DHF,0
2016,36,Dengue,238
2016,36,DHF,0
2016,37,Dengue,174
2016,37,DHF,0
2016,38,Dengue,173
2016,38,DHF,0
2016,39,Dengue,135
2016,39,DHF,0
2016,40,Dengue,124
2016,40,DHF,0
2016,41,Dengue,94
2016,41,DHF,0
2016,42,Dengue,106
2016,42,DHF,0
2016,43,Dengue,81
2016,43,DHF,0
2016,44,Dengue,85
2016,44,DHF,0
2016,45,Dengue,82
2016,45,DHF,0
2016,46,Dengue,71
2016,46,DHF,0
2016,47,Dengue,74
2016,47,DHF,1
2016,48,Dengue,86
2016,48,DHF,0
2016,49,Dengue,59
2016,49,DHF,0
2016,50,Dengue,81
2016,50,DHF,0
2016,51,Dengue,70
2016,51,DHF,0
2016,52,Dengue,64
2016,52,DHF,0
2016,53,Dengue,NA
2016,53,DHF,NA
2017,1,Dengue,70
2017,1,DHF,0
2017,2,Dengue,90
2017,2,DHF,1
2017,3,Dengue,73
2017,3,DHF,1
2017,4,Dengue,63
2017,4,DHF,0
2017,5,Dengue,62
2017,5,DHF,0
2017,6,Dengue,77
2017,6,DHF,0
2017,7,Dengue,51
2017,7,DHF,2
2017,8,Dengue,54
2017,8,DHF,0
2017,9,Dengue,41
2017,9,DHF,0
2017,10,Dengue,32
2017,10,DHF,0
2017,11,Dengue,34
2017,11,DHF,1
2017,12,Dengue,32
2017,12,DHF,0
2017,13,Dengue,49
2017,13,DHF,1
2017,14,Dengue,37
2017,14,DHF,0
2017,15,Dengue,32
2017,15,DHF,0
2017,16,Dengue,51
2017,16,DHF,0
2017,17,Dengue,37
2017,17,DHF,0
2017,18,Dengue,40
2017,18,DHF,0
2017,19,Dengue,48
2017,19,DHF,0
2017,20,Dengue,48
2017,20,DHF,2
2017,21,Dengue,50
2017,21,DHF,0
2017,22,Dengue,66
2017,22,DHF,0
2017,23,Dengue,62
2017,23,DHF,0
2017,24,Dengue,78
2017,24,DHF,1
2017,25,Dengue,73
2017,25,DHF,0
2017,26,Dengue,75
2017,26,DHF,0
2017,27,Dengue,63
2017,27,DHF,0
2017,28,Dengue,53
2017,28,DHF,0
2017,29,Dengue,51
2017,29,DHF,0
2017,30,Dengue,65
2017,30,DHF,1
2017,31,Dengue,60
2017,31,DHF,0
2017,32,Dengue,56
2017,32,DHF,0
2017,33,Dengue,51
2017,33,DHF,1
2017,34,Dengue,51
2017,34,DHF,1
2017,35,Dengue,33
2017,35,DHF,0
2017,36,Dengue,40
2017,36,DHF,0
2017,37,Dengue,53
2017,37,DHF,0
2017,38,Dengue,58
2017,38,DHF,1
2017,39,Dengue,39
2017,39,DHF,0
2017,40,Dengue,51
2017,40,DHF,1
2017,41,Dengue,55
2017,41,DHF,0
2017,42,Dengue,62
2017,42,DHF,1
2017,43,Dengue,77
2017,43,DHF,0
2017,44,Dengue,62
2017,44,DHF,0
2017,45,Dengue,44
2017,45,DHF,0
2017,46,Dengue,50
2017,46,DHF,0
2017,47,Dengue,24
2017,47,DHF,0
2017,48,Dengue,37
2017,48,DHF,1
2017,49,Dengue,33
2017,49,DHF,1
2017,50,Dengue,40
2017,50,DHF,0
2017,51,Dengue,51
2017,51,DHF,0
2017,52,Dengue,66
2017,52,DHF,0
2017,53,Dengue,NA
2017,53,DHF,NA
2018,1,Dengue,83
2018,1,DHF,0
2018,2,Dengue,68
2018,2,DHF,0
2018,3,Dengue,54
2018,3,DHF,0
2018,4,Dengue,45
2018,4,DHF,0
2018,5,Dengue,48
2018,5,DHF,0
2018,6,Dengue,50
2018,6,DHF,0
2018,7,Dengue,28
2018,7,DHF,0
2018,8,Dengue,38
2018,8,DHF,1
2018,9,Dengue,51
2018,9,DHF,0
2018,10,Dengue,37
2018,10,DHF,0
2018,11,Dengue,37
2018,11,DHF,2
2018,12,Dengue,36
2018,12,DHF,0
2018,13,Dengue,24
2018,13,DHF,0
2018,14,Dengue,38
2018,14,DHF,0
2018,15,Dengue,38
2018,15,DHF,0
2018,16,Dengue,56
2018,16,DHF,0
2018,17,Dengue,55
2018,17,DHF,1
2018,18,Dengue,74
2018,18,DHF,3
2018,19,Dengue,62
2018,19,DHF,0
2018,20,Dengue,63
2018,20,DHF,1
2018,21,Dengue,64
2018,21,DHF,1
2018,22,Dengue,52
2018,22,DHF,2
2018,23,Dengue,75
2018,23,DHF,0
2018,24,Dengue,55
2018,24,DHF,0
2018,25,Dengue,59
2018,25,DHF,2
2018,26,Dengue,75
2018,26,DHF,1
2018,27,Dengue,56
2018,27,DHF,2
2018,28,Dengue,44
2018,28,DHF,0
2018,29,Dengue,41
2018,29,DHF,0
2018,30,Dengue,56
2018,30,DHF,0
2018,31,Dengue,50
2018,31,DHF,1
2018,32,Dengue,59
2018,32,DHF,0
2018,33,Dengue,42
2018,33,DHF,1
2018,34,Dengue,66
2018,34,DHF,2
2018,35,Dengue,75
2018,35,DHF,0
2018,36,Dengue,75
2018,36,DHF,1
2018,37,Dengue,49
2018,37,DHF,0
2018,38,Dengue,63
2018,38,DHF,0
2018,39,Dengue,40
2018,39,DHF,0
2018,40,Dengue,51
2018,40,DHF,0
2018,41,Dengue,51
2018,41,DHF,0
2018,42,Dengue,60
2018,42,DHF,2
2018,43,Dengue,78
2018,43,DHF,0
2018,44,Dengue,74
2018,44,DHF,0
2018,45,Dengue,71
2018,45,DHF,0
2018,46,Dengue,78
2018,46,DHF,0
2018,47,Dengue,97
2018,47,DHF,0
2018,48,Dengue,109
2018,48,DHF,0
2018,49,Dengue,113
2018,49,DHF,1
2018,50,Dengue,107
2018,50,DHF,1
2018,51,Dengue,127
2018,51,DHF,1
2018,52,Dengue,160
2018,52,DHF,0
2018,53,Dengue,NA
2018,53,DHF,NA
